AM92 - 2 year select period: q[x-t]+t,,,
,,,
Age x,Duration 0,Duration 1,Durations 2+
,,,
17,0.000427,0.000552,0.000600
18,0.000426,0.000548,0.000594
19,0.000425,0.000544,0.000587
20,0.000425,0.000541,0.000582
21,0.000425,0.000538,0.000577
22,0.000427,0.000535,0.000572
23,0.000429,0.000534,0.000569
24,0.000431,0.000533,0.000567
25,0.000435,0.000533,0.000566
26,0.000440,0.000535,0.000567
27,0.000447,0.000538,0.000570
28,0.000455,0.000542,0.000574
29,0.000465,0.000549,0.000580
30,0.000476,0.000558,0.000590
31,0.000490,0.000569,0.000602
32,0.000507,0.000584,0.000617
33,0.000527,0.000602,0.000636
34,0.000550,0.000624,0.000660
35,0.000577,0.000651,0.000689
36,0.000608,0.000683,0.000724
37,0.000644,0.000722,0.000765
38,0.000685,0.000768,0.000813
39,0.000733,0.000823,0.000870
40,0.000788,0.000887,0.000937
41,0.000851,0.000962,0.001014
42,0.000922,0.001049,0.001104
43,0.001003,0.001150,0.001208
44,0.001096,0.001267,0.001327
45,0.001201,0.001402,0.001465
46,0.001320,0.001557,0.001622
47,0.001455,0.001735,0.001802
48,0.001607,0.001938,0.002008
49,0.001778,0.002170,0.002241
50,0.001971,0.002434,0.002508
51,0.002189,0.002732,0.002809
52,0.002433,0.003070,0.003152
53,0.002707,0.003452,0.003539
54,0.003014,0.003881,0.003976
55,0.003358,0.004363,0.004469
56,0.003742,0.004903,0.005025
57,0.004171,0.005507,0.005650
58,0.004649,0.006180,0.006352
59,0.005182,0.006929,0.007140
60,0.005774,0.007760,0.008022
61,0.006433,0.008680,0.009009
62,0.007164,0.009696,0.010112
63,0.007974,0.010815,0.011344
64,0.008871,0.012046,0.012716
65,0.009864,0.013396,0.014243
66,0.010960,0.014873,0.015940
67,0.012169,0.016484,0.017824
68,0.013502,0.018239,0.019913
69,0.014969,0.020145,0.022226
70,0.016582,0.022210,0.024783
71,0.018353,0.024441,0.027606
72,0.020296,0.026847,0.030718
73,0.022423,0.029434,0.034144
74,0.024750,0.032208,0.037911
75,0.027293,0.035176,0.042046
76,0.030067,0.038344,0.046578
77,0.033090,0.041715,0.051538
78,0.036379,0.045292,0.056956
79,0.039954,0.049080,0.062867
80,0.043833,0.053078,0.069303
81,0.048037,0.057288,0.076300
82,0.052586,0.061709,0.083893
83,0.057501,0.066337,0.092117
84,0.062804,0.071169,0.101007
85,0.068516,0.076199,0.110600
86,0.074661,0.081422,0.120929
87,0.081258,0.086827,0.132028
88,0.088331,0.092405,0.143929
89,0.095902,0.098144,0.156660
90,0.103990,0.104031,0.170247
91,,0.110052,0.184714
92,,,0.200079
93,,,0.216354
94,,,0.233548
95,,,0.251662
96,,,0.270688
97,,,0.290613
98,,,0.311414
99,,,0.333058
100,,,0.355505
101,,,0.378702
102,,,0.402588
103,,,0.427090
104,,,0.452127
105,,,0.477608
106,,,0.503432
107,,,0.529493
108,,,0.555674
109,,,0.581857
110,,,0.607918
111,,,0.633731
112,,,0.659171
113,,,0.684114
114,,,0.708442
115,,,0.732042
116,,,0.754809
117,,,0.776648
118,,,0.797477
119,,,0.817225
120,,,1.000000
